,r1,r2,p1,p2,gesture
100,-3,-34,-6,-10,2
101,-3,-34,-6,-10,2
102,-3,-34,-6,-10,2
103,-3,-34,-6,-10,2
104,-3,-34,-6,-10,2
105,-3,-35,-6,-10,2
106,-5,-37,-25,-9,2
107,-10,-38,-43,-10,2
108,-7,-39,-52,-9,2
109,-6,-39,-53,-9,2
110,-5,-39,-52,-9,2
111,-5,-39,-51,-9,2
112,-7,-38,-46,-7,2
113,-7,-34,-32,-11,2
114,-10,-33,-21,-12,2
115,-9,-32,-19,-12,2
116,-9,-32,-19,-12,2
117,-9,-32,-18,-12,2
118,-8,-32,-18,-12,2
119,-8,-32,-18,-12,2
120,-8,-32,-17,-12,2
121,-8,-33,-17,-12,2
122,-8,-33,-17,-12,2
123,-8,-33,-16,-12,2
124,-7,-33,-16,-12,2
125,-7,-33,-15,-12,2
126,-7,-33,-15,-12,2
127,-7,-33,-15,-12,2
