,r1,r2,p1,p2,gesture
0,-6,-44,-8,-6,2
1,-6,-44,-8,-6,2
2,-6,-44,-8,-6,2
3,-6,-44,-8,-6,2
4,-6,-44,-8,-6,2
5,-6,-44,-8,-6,2
6,-6,-44,-8,-6,2
7,-6,-44,-9,-5,2
8,-8,-46,-27,-4,2
9,-4,-51,-45,-3,2
10,-5,-51,-46,-1,2
11,-4,-52,-45,-1,2
12,-3,-52,-44,-1,2
13,-3,-54,-42,0,2
14,-8,-50,-28,-4,2
15,-2,-44,-13,-3,2
16,-1,-44,-2,-5,2
17,0,-44,-1,-5,2
18,0,-44,-1,-5,2
19,0,-44,-1,-5,2
20,-1,-44,-2,-5,2
21,-1,-44,-2,-5,2
22,-1,-44,-2,-5,2
23,-2,-43,-2,-5,2
24,-2,-43,-2,-5,2
25,-2,-43,-2,-6,2
26,-2,-43,-3,-6,2
