,r1,r2,p1,p2,gesture
100,0,-37,-5,-7,2
101,0,-37,-5,-7,2
102,0,-37,-5,-7,2
103,0,-37,-5,-7,2
104,0,-37,-5,-7,2
105,-1,-37,-5,-7,2
106,0,-37,-5,-6,2
107,-2,-38,-22,-5,2
108,-7,-38,-40,-8,2
109,-4,-37,-48,-8,2
110,-2,-37,-49,-9,2
111,-1,-37,-48,-8,2
112,-1,-38,-47,-7,2
113,-1,-39,-45,-6,2
114,-3,-40,-40,-6,2
115,-3,-36,-25,-6,2
116,0,-35,-9,-7,2
117,0,-34,-7,-8,2
118,0,-35,-7,-8,2
119,1,-35,-6,-7,2
120,0,-35,-6,-8,2
121,0,-34,-6,-8,2
122,0,-34,-6,-8,2
123,0,-34,-6,-8,2
124,0,-34,-6,-8,2
125,1,-34,-6,-8,2
126,1,-34,-5,-8,2
127,1,-34,-5,-8,2
128,1,-34,-5,-8,2
129,1,-33,-5,-8,2
130,1,-33,-5,-8,2
