,r1,r2,p1,p2,gesture
100,18,-48,-23,-6,1
101,18,-48,-23,-6,1
102,18,-48,-24,-7,1
103,18,-48,-24,-6,1
104,18,-50,-25,-6,1
105,16,-52,-26,-6,1
106,14,-53,-26,-5,1
107,13,-54,-25,-4,1
108,12,-53,-23,-2,1
109,29,-33,-32,1,1
110,31,-31,-37,0,1
111,32,-31,-37,2,1
112,32,-30,-36,3,1
113,33,-29,-36,4,1
114,33,-28,-36,5,1
115,34,-27,-36,6,1
116,34,-26,-36,6,1
117,34,-25,-36,7,1
118,35,-24,-36,8,1
119,35,-24,-36,8,1
120,36,-23,-37,9,1
121,36,-22,-37,10,1
122,36,-22,-37,10,1
123,36,-21,-37,11,1
