,r1,r2,p1,p2,gesture
100,-2,-35,-5,-5,2
101,-2,-35,-5,-5,2
102,-2,-35,-5,-5,2
103,-3,-35,-5,-5,2
104,-3,-35,-5,-5,2
105,-2,-35,-5,-5,2
106,-2,-35,-5,-5,2
107,-2,-36,-5,-5,2
108,-6,-39,-19,-2,2
109,-8,-42,-37,-1,2
110,-2,-43,-55,0,2
111,-2,-41,-58,0,2
112,-2,-41,-56,0,2
113,-2,-41,-55,0,2
114,-1,-42,-54,0,2
115,-6,-43,-48,1,2
116,-1,-40,-32,-2,2
117,-1,-39,-23,-3,2
118,-1,-39,-22,-3,2
119,0,-39,-21,-3,2
120,-1,-39,-21,-3,2
121,-1,-39,-20,-3,2
122,0,-38,-19,-3,2
123,0,-38,-18,-3,2
124,0,-38,-18,-4,2
125,0,-38,-18,-4,2
126,0,-38,-17,-4,2
127,0,-38,-17,-4,2
128,0,-38,-16,-4,2
129,0,-38,-16,-4,2
130,0,-38,-15,-4,2
131,0,-37,-15,-4,2
132,0,-37,-14,-4,2
