,r1,r2,p1,p2,gesture
100,0,-36,-5,-7,2
101,0,-36,-5,-7,2
102,0,-36,-5,-7,2
103,0,-36,-5,-7,2
104,0,-36,-5,-7,2
105,0,-36,-5,-7,2
106,0,-36,-5,-7,2
107,-3,-36,-19,-7,2
108,-3,-37,-37,-7,2
109,-1,-38,-54,-6,2
110,-1,-43,-56,-1,2
111,0,-42,-56,0,2
112,0,-42,-55,0,2
113,0,-43,-53,0,2
114,0,-43,-49,0,2
115,1,-43,-34,0,2
116,3,-42,-19,-2,2
117,6,-40,-9,-3,2
118,6,-39,-10,-6,2
119,6,-38,-10,-7,2
120,5,-38,-11,-7,2
121,5,-38,-11,-7,2
122,5,-37,-10,-7,2
123,5,-37,-11,-8,2
124,4,-37,-11,-8,2
125,4,-37,-10,-8,2
126,4,-37,-10,-8,2
127,4,-37,-10,-8,2
128,4,-37,-10,-8,2
129,3,-37,-10,-9,2
130,3,-37,-10,-9,2
131,3,-36,-10,-9,2
