,r1,r2,p1,p2,gesture
100,-2,-34,-7,-10,2
101,-2,-34,-7,-10,2
102,-2,-34,-7,-10,2
103,-2,-34,-7,-10,2
104,-2,-34,-7,-10,2
105,-2,-34,-7,-10,2
106,-4,-36,-11,-9,2
107,-7,-39,-30,-7,2
108,-2,-42,-47,-4,2
109,-2,-39,-51,-5,2
110,-1,-40,-50,-5,2
111,-1,-40,-49,-4,2
112,-1,-41,-46,-2,2
113,-9,-41,-35,-2,2
114,-8,-38,-20,-4,2
115,-5,-37,-10,-6,2
116,-4,-36,-9,-7,2
117,-5,-36,-9,-7,2
118,-4,-36,-9,-7,2
119,-4,-36,-9,-7,2
120,-4,-36,-9,-7,2
121,-4,-36,-9,-8,2
122,-4,-36,-9,-8,2
123,-4,-36,-9,-8,2
124,-4,-36,-8,-8,2
125,-3,-36,-9,-9,2
126,-3,-36,-8,-9,2
127,-3,-36,-8,-9,2
128,-3,-35,-8,-9,2
