,r1,r2,p1,p2,gesture
100,25,-40,-17,-1,1
101,25,-40,-17,-1,1
102,23,-42,-18,-1,1
103,21,-44,-18,0,1
104,20,-46,-19,0,1
105,18,-47,-19,0,1
106,17,-49,-19,0,1
107,16,-49,-19,1,1
108,16,-47,-17,2,1
109,31,-33,-34,15,1
110,33,-35,-41,19,1
111,33,-34,-42,20,1
112,33,-35,-42,21,1
113,33,-34,-41,21,1
114,33,-33,-41,21,1
115,34,-33,-41,22,1
116,34,-32,-41,22,1
117,34,-31,-41,22,1
118,34,-31,-41,23,1
119,34,-30,-41,23,1
120,34,-29,-41,23,1
121,34,-29,-41,23,1
122,34,-28,-41,23,1
123,34,-28,-41,23,1
124,34,-27,-41,24,1
