,r1,r2,p1,p2,gesture
100,51,52,16,21,2
101,52,53,16,21,2
102,52,52,16,21,2
103,52,53,16,21,2
104,52,53,16,21,2
105,52,53,16,21,2
106,52,53,16,21,2
107,53,52,9,22,2
108,54,50,-4,21,2
109,56,48,-18,19,2
110,56,48,-26,21,2
111,56,46,-26,21,2
112,55,46,-23,21,2
113,55,46,-21,20,2
114,52,48,-12,19,2
115,50,51,6,21,2
116,49,52,22,21,2
117,50,53,29,21,2
118,51,54,29,21,2
119,51,54,28,21,2
120,51,55,27,21,2
121,51,55,26,20,2
122,51,55,25,20,2
123,51,55,24,20,2
124,51,55,23,20,2
125,51,55,23,20,2
126,51,55,22,20,2
127,51,55,21,20,2
128,51,54,20,19,2
