,r1,r2,p1,p2,gesture
100,36,51,15,23,2
101,36,51,15,23,2
102,35,51,16,23,2
103,35,51,16,23,2
104,35,51,16,23,2
105,35,51,16,23,2
106,35,52,16,23,2
107,35,52,16,23,2
108,35,51,14,23,2
109,36,49,-2,21,2
110,34,45,-16,19,2
111,36,46,-24,21,2
112,36,44,-23,21,2
113,35,44,-21,21,2
114,34,44,-18,20,2
115,32,46,-13,19,2
116,30,49,6,24,2
117,29,51,23,25,2
118,30,52,34,25,2
119,31,52,36,23,2
120,31,53,35,23,2
121,31,53,33,23,2
122,31,53,31,22,2
123,31,53,30,22,2
124,31,53,28,21,2
125,31,54,27,21,2
