,r1,r2,p1,p2,gesture
100,22,-48,-12,2,1
101,22,-48,-12,2,1
102,22,-48,-12,2,1
103,22,-48,-12,2,1
104,22,-49,-12,2,1
105,22,-49,-12,2,1
106,22,-49,-15,2,1
107,25,-51,-25,0,1
108,28,-52,-42,-3,1
109,32,-53,-58,-3,1
110,33,-53,-69,-1,1
111,33,-52,-70,0,1
112,34,-53,-67,1,1
113,34,-54,-62,1,1
114,31,-53,-49,0,1
115,23,-50,-33,2,1
116,21,-47,-17,5,1
117,22,-47,-12,6,1
118,22,-47,-11,6,1
119,22,-47,-11,6,1
120,22,-48,-11,5,1
121,22,-47,-11,4,1
122,22,-48,-11,4,1
123,22,-48,-11,4,1
124,22,-48,-11,4,1
125,22,-48,-11,3,1
126,22,-48,-11,3,1
127,22,-48,-11,3,1
