,r1,r2,p1,p2,gesture
100,4,-68,0,5,1
101,4,-68,0,5,1
102,4,-68,0,5,1
103,4,-68,0,5,1
104,4,-68,0,5,1
105,4,-68,0,5,1
106,4,-69,-6,5,1
107,7,-70,-20,5,1
108,8,-70,-38,2,1
109,12,-72,-54,1,1
110,13,-71,-64,5,1
111,14,-71,-68,6,1
112,14,-71,-69,7,1
113,13,-72,-65,8,1
114,12,-73,-58,7,1
115,10,-72,-43,4,1
116,8,-72,-27,8,1
117,4,-72,-14,9,1
118,2,-71,-2,8,1
119,1,-70,3,8,1
120,2,-69,3,7,1
121,2,-70,3,7,1
122,2,-70,2,7,1
123,2,-70,2,6,1
124,2,-69,2,6,1
125,2,-69,1,5,1
126,2,-69,1,5,1
127,2,-69,1,5,1
128,2,-69,1,5,1
129,1,-69,1,4,1
