,r1,r2,p1,p2,gesture
100,-2,-56,-20,-22,1
101,-2,-56,-20,-22,1
102,-3,-56,-20,-22,1
103,-2,-56,-20,-23,1
104,-3,-56,-20,-23,1
105,-3,-56,-20,-23,1
106,-3,-56,-20,-23,1
107,-3,-57,-21,-23,1
108,-2,-57,-28,-23,1
109,3,-57,-46,-24,1
110,2,-58,-62,-26,1
111,3,-58,-70,-23,1
112,4,-55,-74,-24,1
113,4,-55,-73,-22,1
114,3,-56,-70,-22,1
115,4,-59,-63,-21,1
116,-1,-59,-47,-23,1
117,-5,-59,-32,-18,1
118,-11,-59,-16,-16,1
119,-10,-58,-6,-15,1
120,-10,-58,-5,-15,1
121,-10,-58,-6,-15,1
122,-10,-58,-6,-15,1
123,-9,-58,-7,-16,1
124,-9,-58,-7,-16,1
125,-9,-58,-7,-16,1
126,-8,-58,-8,-16,1
127,-8,-58,-8,-16,1
128,-8,-58,-8,-16,1
129,-8,-58,-9,-16,1
130,-7,-58,-9,-16,1
131,-7,-58,-9,-16,1
