,r1,r2,p1,p2,gesture
100,47,61,14,17,2
101,47,62,14,17,2
102,47,62,14,17,2
103,47,62,14,17,2
104,47,62,15,17,2
105,46,62,15,17,2
106,46,62,15,17,2
107,47,61,6,17,2
108,46,59,-7,17,2
109,46,57,-21,15,2
110,48,55,-26,18,2
111,48,54,-26,18,2
112,48,53,-24,18,2
113,47,53,-21,18,2
114,45,54,-14,16,2
115,41,54,4,12,2
116,40,56,21,13,2
117,39,57,31,12,2
118,39,57,33,12,2
119,40,57,34,13,2
120,40,57,33,12,2
121,41,58,31,12,2
122,41,58,30,12,2
123,42,58,29,12,2
124,42,58,28,12,2
125,42,58,27,12,2
126,43,58,26,13,2
127,43,58,26,13,2
128,43,58,24,13,2
