,r1,r2,p1,p2,gesture
100,3,-65,-6,-9,1
101,3,-65,-6,-9,1
102,3,-65,-6,-9,1
103,3,-65,-6,-9,1
104,3,-65,-6,-9,1
105,3,-65,-6,-9,1
106,3,-66,-7,-9,1
107,4,-66,-12,-12,1
108,7,-67,-22,-12,1
109,8,-69,-36,-12,1
110,7,-70,-54,-13,1
111,10,-71,-67,-11,1
112,10,-72,-68,-10,1
113,10,-73,-66,-9,1
114,11,-73,-62,-8,1
115,10,-73,-56,-8,1
116,8,-72,-39,-5,1
117,6,-71,-24,-3,1
118,4,-69,-13,-2,1
119,5,-68,-12,-3,1
120,5,-68,-11,-3,1
121,5,-68,-11,-4,1
122,4,-68,-11,-4,1
123,4,-67,-11,-4,1
124,4,-67,-11,-4,1
125,4,-67,-10,-5,1
126,4,-67,-10,-5,1
127,4,-67,-9,-5,1
128,4,-67,-9,-5,1
