,r1,r2,p1,p2,gesture
100,53,54,17,21,2
101,53,54,17,21,2
102,53,54,17,21,2
103,53,54,17,21,2
104,53,54,17,21,2
105,53,55,17,21,2
106,53,54,17,21,2
107,53,54,13,21,2
108,53,54,7,22,2
109,52,52,-7,21,2
110,51,50,-21,22,2
111,53,48,-26,24,2
112,54,46,-25,24,2
113,54,46,-23,23,2
114,52,47,-18,24,2
115,48,50,-4,20,2
116,41,51,15,23,2
117,39,52,31,23,2
118,42,54,36,23,2
119,43,54,37,22,2
120,43,54,36,22,2
121,44,54,34,22,2
122,44,54,33,22,2
123,45,54,32,22,2
124,45,54,31,21,2
125,46,54,30,21,2
126,46,54,29,21,2
127,46,54,28,21,2
128,47,54,27,21,2
129,48,54,27,21,2
