,r1,r2,p1,p2,gesture
100,49,54,13,20,2
101,50,54,13,20,2
102,50,54,13,20,2
103,50,54,13,20,2
104,50,54,13,20,2
105,50,54,13,20,2
106,50,54,13,20,2
107,50,54,13,20,2
108,52,53,4,20,2
109,53,52,-10,20,2
110,53,48,-19,14,2
111,55,47,-25,16,2
112,54,48,-28,18,2
113,53,46,-27,18,2
114,52,46,-23,17,2
115,51,47,-10,14,2
116,48,49,8,14,2
117,48,53,25,17,2
118,49,54,35,17,2
119,49,54,36,17,2
120,49,55,34,17,2
121,49,55,33,16,2
122,49,55,32,16,2
123,49,56,30,16,2
124,49,56,29,16,2
125,50,56,28,16,2
126,50,56,27,16,2
127,50,56,26,16,2
128,50,57,25,16,2
129,50,57,24,16,2
130,50,57,23,15,2
131,50,57,22,15,2
132,50,57,21,16,2
