,r1,r2,p1,p2,gesture
100,37,51,17,27,2
101,37,51,17,27,2
102,37,51,18,27,2
103,37,52,18,27,2
104,37,52,18,26,2
105,38,52,19,26,2
106,38,53,19,26,2
107,38,53,19,27,2
108,39,51,12,26,2
109,38,48,2,27,2
110,38,47,-12,27,2
111,38,46,-24,25,2
112,40,45,-26,24,2
113,41,44,-24,23,2
114,40,45,-22,23,2
115,38,48,-14,22,2
116,38,50,4,20,2
117,36,51,21,23,2
118,35,52,33,22,2
119,37,53,37,22,2
120,38,53,36,21,2
121,38,53,34,20,2
122,38,53,33,20,2
123,39,54,31,19,2
124,39,54,29,19,2
125,40,54,28,19,2
126,40,54,27,19,2
127,40,55,26,19,2
128,41,55,25,18,2
129,41,55,24,18,2
