,r1,r2,p1,p2,gesture
100,6,-67,-8,4,1
101,6,-67,-7,5,1
102,6,-67,-7,5,1
103,6,-67,-6,5,1
104,6,-67,-6,5,1
105,6,-67,-6,6,1
106,6,-67,-6,6,1
107,6,-67,-6,6,1
108,6,-68,-6,6,1
109,6,-68,-7,6,1
110,10,-69,-19,6,1
111,7,-70,-36,6,1
112,11,-68,-50,9,1
113,13,-66,-56,8,1
114,13,-66,-57,9,1
115,14,-68,-55,9,1
116,14,-69,-50,10,1
117,11,-69,-42,11,1
118,10,-67,-27,10,1
119,7,-65,-11,11,1
120,7,-64,-1,12,1
121,7,-63,1,11,1
122,7,-64,1,11,1
123,7,-64,1,10,1
124,7,-64,1,10,1
125,7,-64,0,10,1
126,7,-64,0,9,1
127,7,-64,0,9,1
128,7,-64,0,9,1
129,7,-64,0,8,1
130,7,-64,0,8,1
131,7,-64,0,8,1
