,r1,r2,p1,p2,gesture
100,48,56,19,18,2
101,48,57,19,19,2
102,48,57,19,19,2
103,48,57,19,19,2
104,48,57,19,19,2
105,48,57,19,19,2
106,48,57,19,19,2
107,48,57,18,19,2
108,48,54,15,19,2
109,45,52,5,19,2
110,45,51,-6,18,2
111,47,51,-14,19,2
112,49,50,-18,18,2
113,48,50,-16,18,2
114,49,49,-14,18,2
115,46,52,-10,15,2
116,43,54,7,13,2
117,41,56,24,16,2
118,41,56,32,15,2
119,42,56,34,15,2
120,43,56,33,15,2
121,43,56,32,15,2
122,43,56,30,15,2
123,44,57,29,15,2
124,44,57,28,15,2
125,44,57,27,15,2
126,44,57,26,15,2
127,45,57,25,15,2
128,45,57,25,15,2
129,45,57,24,15,2
130,45,57,23,14,2
131,45,57,22,14,2
132,45,57,22,15,2
133,45,57,21,15,2
