,r1,r2,p1,p2,gesture
100,-8,-67,-19,-16,1
101,-8,-67,-19,-16,1
102,-8,-68,-19,-16,1
103,-8,-68,-19,-16,1
104,-8,-68,-19,-16,1
105,-9,-68,-19,-16,1
106,-9,-68,-20,-17,1
107,-7,-69,-29,-17,1
108,-5,-70,-45,-18,1
109,-4,-70,-62,-20,1
110,-3,-71,-69,-17,1
111,-3,-72,-69,-16,1
112,-3,-73,-66,-15,1
113,-3,-75,-59,-14,1
114,-7,-75,-44,-16,1
115,-14,-74,-29,-11,1
116,-16,-73,-15,-9,1
117,-15,-71,-10,-8,1
118,-14,-71,-10,-9,1
119,-14,-71,-10,-9,1
120,-14,-71,-11,-9,1
121,-13,-71,-12,-10,1
122,-13,-71,-12,-10,1
123,-13,-70,-12,-10,1
124,-13,-70,-12,-11,1
