,r1,r2,p1,p2,gesture
100,-1,-62,-8,-14,1
101,-1,-62,-8,-14,1
102,-1,-62,-8,-14,1
103,-1,-62,-8,-14,1
104,-1,-62,-8,-14,1
105,-1,-62,-8,-14,1
106,-1,-63,-9,-14,1
107,-1,-64,-17,-14,1
108,0,-65,-35,-15,1
109,1,-67,-52,-20,1
110,3,-67,-65,-17,1
111,3,-67,-65,-16,1
112,4,-67,-65,-15,1
113,4,-69,-62,-14,1
114,4,-70,-60,-13,1
115,2,-71,-53,-14,1
116,0,-68,-38,-17,1
117,-2,-66,-24,-15,1
118,-3,-65,-12,-14,1
119,-2,-65,-8,-14,1
120,-2,-64,-7,-14,1
121,-2,-64,-7,-14,1
122,-2,-64,-6,-14,1
123,-2,-64,-7,-14,1
124,-2,-64,-7,-14,1
125,-2,-64,-7,-14,1
126,-2,-63,-7,-15,1
