,r1,r2,p1,p2,gesture
127,16.0,-40.0,-48.0,-53.0,0.0
128,16.0,-40.0,-49.0,-53.0,0.0
129,15.0,-40.0,-50.0,-53.0,0.0
130,15.0,-40.0,-51.0,-54.0,0.0
131,14.0,-40.0,-52.0,-55.0,0.0
132,13.0,-40.0,-53.0,-56.0,0.0
133,12.0,-41.0,-54.0,-56.0,0.0
134,11.0,-41.0,-55.0,-56.0,0.0
135,11.0,-40.0,-55.0,-57.0,0.0
136,11.0,-40.0,-56.0,-57.0,0.0
137,11.0,-40.0,-57.0,-57.0,0.0
138,11.0,-40.0,-57.0,-57.0,0.0
139,10.0,-40.0,-59.0,-58.0,0.0
140,8.0,-42.0,-60.0,-58.0,0.0
141,6.0,-43.0,-60.0,-59.0,0.0
142,5.0,-44.0,-61.0,-60.0,0.0
143,4.0,-44.0,-61.0,-60.0,0.0
144,5.0,-44.0,-61.0,-61.0,0.0
145,5.0,-43.0,-62.0,-61.0,0.0
146,5.0,-43.0,-62.0,-61.0,0.0
147,5.0,-43.0,-63.0,-62.0,0.0
148,4.0,-44.0,-64.0,-62.0,0.0
149,3.0,-45.0,-64.0,-63.0,0.0
150,3.0,-45.0,-65.0,-63.0,0.0
151,2.0,-46.0,-66.0,-64.0,0.0
152,1.0,-47.0,-67.0,-65.0,0.0
153,0.0,-47.0,-68.0,-65.0,0.0
154,-1.0,-48.0,-68.0,-66.0,0.0
155,-2.0,-48.0,-69.0,-66.0,0.0
156,-2.0,-48.0,-69.0,-66.0,0.0
157,-2.0,-49.0,-70.0,-66.0,0.0
158,-2.0,-49.0,-70.0,-67.0,0.0
159,-3.0,-49.0,-71.0,-67.0,0.0
160,-4.0,-50.0,-72.0,-67.0,0.0
161,-6.0,-53.0,-73.0,-67.0,0.0
162,-8.0,-55.0,-76.0,-68.0,0.0
163,-8.0,-56.0,-77.0,-67.0,0.0
164,-10.0,-57.0,-79.0,-67.0,0.0
165,-10.0,-58.0,-80.0,-66.0,0.0
166,-10.0,-58.0,-79.0,-65.0,0.0
167,-9.0,-59.0,-79.0,-65.0,0.0
168,-9.0,-60.0,-78.0,-64.0,0.0
169,-9.0,-60.0,-78.0,-63.0,0.0
170,-10.0,-62.0,-78.0,-62.0,0.0
171,-10.0,-63.0,-77.0,-61.0,0.0
172,-11.0,-65.0,-77.0,-60.0,0.0
173,-13.0,-67.0,-77.0,-60.0,0.0
174,-13.0,-68.0,-78.0,-59.0,0.0
175,-13.0,-69.0,-78.0,-59.0,0.0
176,-14.0,-69.0,-78.0,-58.0,0.0
177,-14.0,-70.0,-78.0,-58.0,0.0
178,-14.0,-71.0,-79.0,-58.0,0.0
179,-14.0,-71.0,-79.0,-57.0,0.0
180,-15.0,-72.0,-80.0,-57.0,0.0
181,-15.0,-72.0,-80.0,-56.0,0.0
182,-15.0,-73.0,-80.0,-56.0,0.0
183,-15.0,-73.0,-81.0,-56.0,0.0
184,-15.0,-74.0,-81.0,-55.0,0.0
185,-15.0,-74.0,-81.0,-55.0,0.0
186,-15.0,-75.0,-81.0,-55.0,0.0
187,-15.0,-75.0,-81.0,-54.0,0.0
188,-15.0,-76.0,-82.0,-54.0,0.0
189,-15.0,-76.0,-82.0,-54.0,0.0
190,-15.0,-76.0,-82.0,-54.0,0.0
191,-15.0,-77.0,-82.0,-54.0,0.0
192,-15.0,-77.0,-82.0,-53.0,0.0
193,-15.0,-78.0,-83.0,-53.0,0.0
194,-15.0,-78.0,-83.0,-53.0,0.0
195,-15.0,-78.0,-83.0,-53.0,0.0
196,-15.0,-78.0,-83.0,-53.0,0.0
197,-15.0,-79.0,-83.0,-53.0,0.0
198,-15.0,-79.0,-83.0,-52.0,0.0
199,-15.0,-79.0,-84.0,-52.0,0.0
200,-15.0,-79.0,-84.0,-52.0,0.0
201,-15.0,-79.0,-84.0,-52.0,0.0
202,-15.0,-80.0,-84.0,-52.0,0.0
203,-15.0,-80.0,-84.0,-52.0,0.0
204,-15.0,-80.0,-84.0,-52.0,0.0
205,-15.0,-81.0,-84.0,-52.0,0.0
206,-15.0,-81.0,-85.0,-52.0,0.0
207,-15.0,-81.0,-85.0,-52.0,0.0
208,-15.0,-82.0,-85.0,-52.0,0.0
209,-15.0,-82.0,-85.0,-52.0,0.0
210,-15.0,-83.0,-85.0,-52.0,0.0
211,-15.0,-83.0,-85.0,-52.0,0.0
212,-15.0,-83.0,-85.0,-52.0,0.0
213,-16.0,-84.0,-85.0,-52.0,0.0
214,-16.0,-84.0,-86.0,-52.0,0.0
215,-16.0,-84.0,-86.0,-52.0,0.0
216,-16.0,-84.0,-86.0,-52.0,0.0
217,-16.0,-85.0,-86.0,-52.0,0.0
