,r1,r2,p1,p2,gesture
100,-1,-62,-12,-15,1
101,-1,-62,-12,-15,1
102,-1,-62,-12,-15,1
103,-1,-62,-12,-15,1
104,-1,-62,-12,-15,1
105,-1,-62,-12,-15,1
106,-1,-63,-12,-15,1
107,1,-64,-28,-17,1
108,0,-65,-46,-19,1
109,6,-66,-62,-18,1
110,8,-67,-68,-15,1
111,8,-67,-70,-15,1
112,8,-69,-67,-14,1
113,8,-69,-64,-13,1
114,7,-71,-59,-13,1
115,2,-70,-44,-14,1
116,1,-66,-29,-12,1
117,-2,-64,-16,-9,1
118,-3,-63,-8,-9,1
119,-2,-62,-5,-9,1
120,-3,-62,-5,-9,1
121,-3,-62,-6,-10,1
122,-3,-62,-6,-10,1
123,-2,-62,-6,-10,1
124,-3,-62,-6,-11,1
125,-2,-62,-6,-11,1
126,-2,-62,-6,-11,1
127,-2,-62,-7,-12,1
128,-2,-61,-7,-12,1
129,-2,-61,-7,-12,1
