,r1,r2,p1,p2,gesture
100,34,54,17,25,2
101,34,55,17,25,2
102,34,55,17,25,2
103,34,55,17,25,2
104,34,55,17,25,2
105,34,55,17,25,2
106,33,55,17,25,2
107,33,55,16,25,2
108,32,53,4,25,2
109,32,50,-6,19,2
110,33,47,-21,14,2
111,33,50,-27,17,2
112,32,49,-26,17,2
113,32,49,-24,17,2
114,31,50,-21,15,2
115,28,50,-2,12,2
116,29,54,15,17,2
117,30,56,29,18,2
118,31,58,37,19,2
119,31,59,39,19,2
120,31,59,37,18,2
121,31,59,35,18,2
122,31,59,34,18,2
123,31,60,32,17,2
124,31,60,29,17,2
125,31,60,29,17,2
126,31,60,27,17,2
127,31,61,26,17,2
128,31,61,25,16,2
129,31,61,24,16,2
130,31,61,24,16,2
