,r1,r2,p1,p2,gesture
100,0,-62,-10,-12,1
101,0,-62,-10,-12,1
102,0,-62,-10,-12,1
103,0,-62,-10,-12,1
104,0,-62,-10,-12,1
105,0,-62,-10,-12,1
106,0,-62,-10,-12,1
107,0,-64,-18,-13,1
108,4,-65,-36,-14,1
109,5,-66,-54,-16,1
110,8,-66,-67,-14,1
111,9,-67,-69,-14,1
112,10,-67,-69,-14,1
113,10,-69,-67,-13,1
114,10,-70,-62,-12,1
115,9,-68,-57,-13,1
116,9,-66,-42,-15,1
117,4,-63,-27,-12,1
118,1,-64,-12,-10,1
119,3,-63,-5,-9,1
120,3,-63,-2,-9,1
121,2,-64,-1,-9,1
122,2,-64,-1,-9,1
123,2,-64,-2,-9,1
124,2,-63,-3,-10,1
125,2,-63,-3,-10,1
126,2,-63,-3,-10,1
127,2,-63,-3,-10,1
128,2,-63,-3,-10,1
129,1,-63,-4,-11,1
130,2,-63,-4,-11,1
131,1,-63,-5,-11,1
132,1,-63,-5,-11,1
133,1,-63,-5,-11,1
134,1,-62,-5,-12,1
