,r1,r2,p1,p2,gesture
100,0,-55,-19,-22,1
101,0,-55,-19,-22,1
102,0,-55,-19,-22,1
103,0,-55,-19,-21,1
104,0,-55,-19,-21,1
105,0,-55,-19,-21,1
106,-1,-56,-19,-21,1
107,0,-57,-27,-23,1
108,5,-57,-43,-24,1
109,6,-59,-61,-26,1
110,8,-61,-73,-25,1
111,10,-63,-80,-22,1
112,11,-63,-80,-21,1
113,11,-64,-77,-20,1
114,10,-67,-74,-19,1
115,8,-67,-66,-20,1
116,5,-64,-50,-19,1
117,3,-62,-36,-17,1
118,1,-61,-23,-16,1
119,1,-60,-18,-15,1
120,1,-59,-17,-15,1
121,1,-59,-16,-15,1
122,1,-59,-16,-16,1
123,1,-59,-16,-16,1
124,1,-58,-17,-17,1
125,1,-58,-17,-17,1
126,1,-58,-17,-18,1
127,1,-58,-17,-18,1
128,1,-58,-17,-18,1
129,1,-57,-17,-18,1
130,1,-57,-17,-19,1
