,r1,r2,p1,p2,gesture
100,5,-54,-18,-25,1
101,4,-54,-18,-25,1
102,4,-54,-18,-25,1
103,4,-54,-18,-25,1
104,4,-54,-18,-25,1
105,4,-55,-18,-25,1
106,4,-56,-22,-27,1
107,7,-57,-37,-28,1
108,5,-59,-55,-29,1
109,8,-61,-70,-29,1
110,10,-58,-80,-27,1
111,10,-60,-82,-26,1
112,10,-61,-79,-25,1
113,10,-63,-72,-25,1
114,9,-63,-61,-25,1
115,8,-60,-45,-25,1
116,4,-58,-29,-21,1
117,3,-57,-21,-20,1
118,2,-57,-19,-21,1
119,3,-57,-19,-21,1
120,3,-57,-19,-21,1
121,2,-57,-19,-21,1
122,2,-57,-19,-22,1
123,2,-57,-19,-22,1
124,2,-57,-19,-22,1
125,2,-57,-19,-23,1
126,2,-57,-19,-23,1
