,r1,r2,p1,p2,gesture
100,0,-62,-8,-13,1
101,0,-62,-8,-13,1
102,0,-62,-8,-13,1
103,0,-62,-8,-13,1
104,0,-62,-8,-13,1
105,0,-62,-8,-13,1
106,0,-63,-10,-13,1
107,0,-64,-19,-13,1
108,4,-65,-36,-15,1
109,6,-68,-53,-17,1
110,7,-69,-59,-16,1
111,6,-70,-61,-15,1
112,7,-71,-60,-14,1
113,7,-72,-58,-13,1
114,6,-72,-53,-14,1
115,4,-69,-38,-17,1
116,3,-66,-23,-11,1
117,-2,-65,-7,-10,1
118,0,-64,0,-10,1
119,0,-64,0,-10,1
120,0,-64,0,-10,1
121,0,-64,0,-11,1
122,0,-64,-1,-11,1
123,0,-64,-1,-11,1
124,0,-63,-2,-11,1
125,0,-63,-2,-12,1
126,0,-63,-2,-12,1
127,0,-63,-2,-12,1
