,r1,r2,p1,p2,gesture
100,50,47,26,29,2
101,50,47,26,30,2
102,50,48,26,30,2
103,50,48,26,29,2
104,50,48,26,30,2
105,50,48,26,30,2
106,51,47,18,30,2
107,52,45,7,30,2
108,51,44,-8,29,2
109,53,43,-16,30,2
110,56,41,-20,30,2
111,57,39,-19,29,2
112,57,39,-17,29,2
113,54,42,-12,28,2
114,49,44,4,26,2
115,46,46,21,28,2
116,47,46,31,27,2
117,49,47,35,26,2
118,49,47,34,26,2
119,50,47,33,26,2
120,50,47,32,26,2
121,50,47,31,26,2
122,51,48,29,26,2
123,51,48,29,26,2
124,51,48,28,26,2
125,52,48,27,26,2
126,52,48,26,26,2
