,r1,r2,p1,p2,gesture
100,38,56,15,21,2
101,38,55,14,21,2
102,39,55,13,21,2
103,40,54,13,20,2
104,41,54,13,21,2
105,41,54,13,21,2
106,41,53,13,22,2
107,42,50,4,21,2
108,42,47,-10,20,2
109,42,42,-27,18,2
110,48,39,-35,19,2
111,51,35,-35,18,2
112,51,36,-32,19,2
113,50,36,-29,19,2
114,48,39,-20,17,2
115,46,40,-1,16,2
116,44,44,15,18,2
117,46,45,22,17,2
118,48,46,25,18,2
119,48,47,26,18,2
120,49,46,25,18,2
121,49,46,24,18,2
122,50,47,24,18,2
123,50,46,23,18,2
124,50,46,22,18,2
125,51,46,22,18,2
126,51,46,21,18,2
127,52,46,21,18,2
128,52,46,21,18,2
