,r1,r2,p1,p2,gesture
0,0.0,-2.0,-3.0,-1.0,0.0
1,1.0,-5.0,-5.0,-3.0,0.0
2,2.0,-7.0,-7.0,-4.0,0.0
3,3.0,-9.0,-10.0,-5.0,0.0
4,3.0,-11.0,-12.0,-6.0,0.0
5,4.0,-12.0,-14.0,-7.0,0.0
6,4.0,-14.0,-16.0,-8.0,0.0
7,5.0,-16.0,-17.0,-9.0,0.0
8,5.0,-17.0,-19.0,-10.0,0.0
9,6.0,-19.0,-21.0,-11.0,0.0
10,6.0,-20.0,-22.0,-12.0,0.0
11,6.0,-22.0,-24.0,-13.0,0.0
12,7.0,-23.0,-25.0,-13.0,0.0
13,7.0,-24.0,-27.0,-14.0,0.0
14,5.0,-27.0,-28.0,-15.0,0.0
15,3.0,-30.0,-26.0,-13.0,0.0
16,0.0,-34.0,-21.0,-10.0,0.0
17,-4.0,-33.0,-5.0,-5.0,0.0
18,-4.0,-35.0,4.0,-3.0,0.0
19,-5.0,-36.0,5.0,-3.0,0.0
20,-6.0,-38.0,4.0,-4.0,0.0
21,-8.0,-41.0,1.0,-6.0,0.0
22,-9.0,-44.0,-3.0,-9.0,0.0
23,-10.0,-45.0,-11.0,-11.0,0.0
24,-10.0,-46.0,-11.0,-10.0,0.0
25,-11.0,-47.0,-10.0,-10.0,0.0
26,-11.0,-47.0,-11.0,-11.0,0.0
27,-10.0,-46.0,-12.0,-13.0,0.0
28,-9.0,-46.0,-13.0,-15.0,0.0
29,-7.0,-45.0,-14.0,-17.0,0.0
30,-5.0,-44.0,-15.0,-18.0,0.0
31,-2.0,-42.0,-16.0,-19.0,0.0
32,3.0,-41.0,-17.0,-20.0,0.0
33,9.0,-38.0,-20.0,-21.0,0.0
34,12.0,-36.0,-19.0,-22.0,0.0
35,9.0,-37.0,-15.0,-25.0,0.0
36,14.0,-34.0,-15.0,-25.0,0.0
37,14.0,-36.0,-16.0,-25.0,0.0
38,14.0,-37.0,-17.0,-25.0,0.0
39,15.0,-38.0,-17.0,-24.0,0.0
40,15.0,-38.0,-18.0,-23.0,0.0
41,15.0,-39.0,-18.0,-22.0,0.0
42,15.0,-40.0,-19.0,-22.0,0.0
43,15.0,-41.0,-19.0,-21.0,0.0
44,16.0,-42.0,-20.0,-20.0,0.0
45,16.0,-42.0,-20.0,-20.0,0.0
