,r1,r2,p1,p2,gesture
100,18,-57,-16,1,1
101,18,-57,-16,1,1
102,18,-57,-16,1,1
103,18,-57,-16,1,1
104,18,-57,-16,1,1
105,18,-57,-16,1,1
106,18,-57,-16,1,1
107,18,-58,-18,1,1
108,19,-60,-25,2,1
109,19,-61,-43,2,1
110,26,-61,-57,2,1
111,28,-61,-68,1,1
112,29,-61,-68,1,1
113,28,-62,-66,2,1
114,28,-61,-58,2,1
115,23,-61,-44,0,1
116,17,-60,-28,4,1
117,13,-59,-14,5,1
118,13,-58,-10,5,1
119,13,-59,-10,4,1
120,14,-58,-10,5,1
121,14,-58,-10,4,1
122,14,-58,-10,4,1
123,15,-58,-11,3,1
124,15,-58,-11,3,1
125,15,-58,-11,5,1
126,15,-58,-11,5,1
127,15,-58,-11,5,1
128,15,-58,-11,5,1
129,15,-58,-12,4,1
130,16,-58,-12,4,1
131,15,-58,-12,4,1
132,16,-58,-12,4,1
133,16,-57,-12,3,1
