,r1,r2,p1,p2,gesture
0,1.0,-2.0,-3.0,-1.0,0.0
1,2.0,-3.0,-5.0,-3.0,0.0
2,3.0,-5.0,-7.0,-4.0,0.0
3,3.0,-7.0,-10.0,-5.0,0.0
4,4.0,-9.0,-12.0,-6.0,0.0
5,5.0,-10.0,-14.0,-7.0,0.0
6,5.0,-12.0,-16.0,-8.0,0.0
7,6.0,-13.0,-18.0,-9.0,0.0
8,6.0,-14.0,-19.0,-10.0,0.0
9,7.0,-16.0,-21.0,-11.0,0.0
10,7.0,-17.0,-23.0,-12.0,0.0
11,8.0,-18.0,-24.0,-13.0,0.0
12,8.0,-19.0,-26.0,-13.0,0.0
13,9.0,-20.0,-27.0,-14.0,0.0
14,9.0,-21.0,-29.0,-15.0,0.0
15,10.0,-22.0,-30.0,-16.0,0.0
16,10.0,-23.0,-32.0,-16.0,0.0
17,11.0,-24.0,-33.0,-17.0,0.0
18,11.0,-24.0,-34.0,-18.0,0.0
19,11.0,-25.0,-35.0,-18.0,0.0
20,12.0,-26.0,-36.0,-19.0,0.0
21,12.0,-27.0,-37.0,-19.0,0.0
22,13.0,-27.0,-38.0,-20.0,0.0
23,13.0,-28.0,-39.0,-21.0,0.0
24,13.0,-29.0,-40.0,-21.0,0.0
25,13.0,-29.0,-41.0,-21.0,0.0
26,14.0,-30.0,-42.0,-22.0,0.0
27,14.0,-31.0,-43.0,-22.0,0.0
28,14.0,-31.0,-44.0,-23.0,0.0
29,15.0,-32.0,-44.0,-23.0,0.0
30,15.0,-32.0,-45.0,-24.0,0.0
31,15.0,-33.0,-46.0,-24.0,0.0
32,15.0,-33.0,-47.0,-24.0,0.0
33,16.0,-34.0,-47.0,-25.0,0.0
34,16.0,-34.0,-48.0,-25.0,0.0
35,16.0,-34.0,-48.0,-25.0,0.0
36,16.0,-35.0,-49.0,-26.0,0.0
37,16.0,-35.0,-50.0,-26.0,0.0
38,17.0,-36.0,-50.0,-26.0,0.0
39,17.0,-36.0,-51.0,-27.0,0.0
40,17.0,-36.0,-51.0,-27.0,0.0
41,17.0,-37.0,-52.0,-27.0,0.0
42,17.0,-37.0,-52.0,-27.0,0.0
43,17.0,-37.0,-53.0,-28.0,0.0
44,18.0,-37.0,-53.0,-28.0,0.0
45,18.0,-38.0,-53.0,-28.0,0.0
46,18.0,-38.0,-54.0,-28.0,0.0
47,18.0,-38.0,-54.0,-28.0,0.0
48,18.0,-39.0,-54.0,-29.0,0.0
49,18.0,-39.0,-55.0,-29.0,0.0
50,18.0,-39.0,-55.0,-29.0,0.0
51,19.0,-39.0,-55.0,-29.0,0.0
52,19.0,-39.0,-56.0,-29.0,0.0
53,19.0,-40.0,-56.0,-29.0,0.0
54,19.0,-40.0,-56.0,-29.0,0.0
55,19.0,-40.0,-56.0,-30.0,0.0
56,19.0,-40.0,-57.0,-30.0,0.0
57,19.0,-40.0,-57.0,-30.0,0.0
