,r1,r2,p1,p2,gesture
100,40,56,9,19,2
101,40,57,10,20,2
102,40,57,10,20,2
103,40,57,10,20,2
104,39,57,10,20,2
105,39,57,9,20,2
106,38,56,2,20,2
107,37,55,-10,21,2
108,39,54,-22,19,2
109,39,55,-32,19,2
110,39,52,-30,19,2
111,38,51,-28,19,2
112,36,53,-24,18,2
113,36,54,-9,15,2
114,35,56,10,16,2
115,35,59,26,18,2
116,35,61,32,18,2
117,35,61,33,18,2
118,36,62,32,18,2
119,36,62,30,18,2
120,36,62,29,18,2
121,37,63,27,17,2
122,37,63,26,17,2
123,37,63,24,17,2
124,37,63,23,16,2
125,37,63,22,16,2
