,r1,r2,p1,p2,gesture
128,18.0,-46.0,-4.0,-13.0,0.0
129,18.0,-46.0,-4.0,-13.0,0.0
130,18.0,-46.0,-4.0,-13.0,0.0
131,19.0,-46.0,-4.0,-13.0,0.0
132,19.0,-46.0,-4.0,-13.0,0.0
133,19.0,-46.0,-4.0,-12.0,0.0
134,19.0,-46.0,-4.0,-12.0,0.0
135,19.0,-46.0,-4.0,-13.0,0.0
136,19.0,-46.0,-4.0,-12.0,0.0
137,19.0,-47.0,-4.0,-12.0,0.0
138,18.0,-47.0,-4.0,-13.0,0.0
139,18.0,-47.0,-4.0,-13.0,0.0
140,18.0,-47.0,-4.0,-13.0,0.0
141,18.0,-47.0,-4.0,-13.0,0.0
142,18.0,-47.0,-4.0,-13.0,0.0
143,18.0,-47.0,-4.0,-13.0,0.0
144,19.0,-47.0,-4.0,-13.0,0.0
145,19.0,-47.0,-4.0,-13.0,0.0
146,19.0,-47.0,-4.0,-13.0,0.0
147,19.0,-47.0,-4.0,-13.0,0.0
148,20.0,-48.0,-6.0,-13.0,0.0
149,19.0,-50.0,-11.0,-16.0,0.0
150,24.0,-47.0,-21.0,-19.0,0.0
151,32.0,-45.0,-27.0,-17.0,0.0
152,35.0,-44.0,-28.0,-15.0,0.0
153,34.0,-44.0,-27.0,-13.0,0.0
154,34.0,-44.0,-24.0,-12.0,0.0
155,34.0,-44.0,-23.0,-8.0,0.0
156,40.0,-42.0,-22.0,-4.0,0.0
157,39.0,-44.0,-27.0,-5.0,0.0
158,45.0,-39.0,-32.0,-5.0,0.0
159,45.0,-41.0,-33.0,-8.0,0.0
160,41.0,-42.0,-32.0,-11.0,0.0
161,42.0,-39.0,-28.0,-12.0,0.0
162,41.0,-36.0,-25.0,-11.0,0.0
163,44.0,-27.0,-19.0,-11.0,0.0
164,48.0,-34.0,-14.0,-15.0,0.0
165,51.0,-33.0,-11.0,-15.0,0.0
166,51.0,-34.0,-11.0,-14.0,0.0
167,51.0,-35.0,-13.0,-13.0,0.0
168,59.0,-34.0,-13.0,-12.0,0.0
169,55.0,-35.0,-21.0,-7.0,0.0
170,51.0,-37.0,-25.0,-6.0,0.0
171,54.0,-36.0,-24.0,-8.0,0.0
172,61.0,-31.0,-23.0,-7.0,0.0
173,66.0,-31.0,-23.0,-6.0,0.0
174,69.0,-31.0,-24.0,-7.0,0.0
175,69.0,-27.0,-24.0,-4.0,0.0
176,64.0,-23.0,-20.0,-4.0,0.0
177,65.0,-24.0,-21.0,-4.0,0.0
178,66.0,-26.0,-23.0,-4.0,0.0
179,67.0,-25.0,-25.0,-4.0,0.0
180,64.0,-25.0,-23.0,-4.0,0.0
181,60.0,-27.0,-15.0,-6.0,0.0
182,54.0,-32.0,-13.0,-6.0,0.0
