,r1,r2,p1,p2,gesture
100,40,55,22,24,2
101,40,56,22,24,2
102,40,56,22,24,2
103,40,56,23,24,2
104,40,56,23,24,2
105,40,56,23,24,2
106,39,56,22,25,2
107,38,54,11,24,2
108,36,52,-5,24,2
109,37,51,-16,22,2
110,39,49,-23,22,2
111,39,47,-22,22,2
112,39,47,-20,23,2
113,37,50,-17,22,2
114,37,50,-2,19,2
115,37,52,16,21,2
116,37,55,32,23,2
117,38,55,41,22,2
118,39,56,39,22,2
119,39,56,38,22,2
120,40,56,36,22,2
121,40,56,35,22,2
122,40,56,33,22,2
123,40,56,32,22,2
124,40,56,31,22,2
125,40,56,30,22,2
126,40,56,28,22,2
