,r1,r2,p1,p2,gesture
100,50,47,11,18,2
101,50,47,11,18,2
102,50,47,12,18,2
103,49,47,12,18,2
104,49,48,12,18,2
105,50,48,12,18,2
106,50,48,12,19,2
107,50,49,12,19,2
108,49,48,11,19,2
109,50,47,0,20,2
110,47,44,-14,18,2
111,50,44,-20,19,2
112,49,44,-24,19,2
113,49,42,-23,19,2
114,48,43,-21,18,2
115,47,44,-12,16,2
116,44,45,6,13,2
117,42,49,23,16,2
118,43,49,34,16,2
119,44,51,37,16,2
120,44,51,37,15,2
121,44,51,35,15,2
122,44,52,33,15,2
123,44,52,32,15,2
124,44,52,30,15,2
125,44,52,28,14,2
126,44,52,27,14,2
127,44,53,25,14,2
128,45,53,24,14,2
129,45,53,23,15,2
