,r1,r2,p1,p2,gesture
100,42,58,16,19,2
101,42,59,16,19,2
102,42,59,17,19,2
103,42,59,17,19,2
104,42,59,17,19,2
105,42,60,17,19,2
106,41,60,17,19,2
107,41,60,15,20,2
108,41,58,2,20,2
109,36,56,-12,19,2
110,37,51,-22,14,2
111,39,52,-25,15,2
112,40,51,-24,15,2
113,40,50,-21,15,2
114,39,53,-17,14,2
115,36,53,0,12,2
116,36,57,17,18,2
117,37,59,33,19,2
118,38,59,37,17,2
119,38,60,35,17,2
120,38,60,33,17,2
121,38,60,31,17,2
122,38,60,29,16,2
123,38,60,27,16,2
124,38,61,26,16,2
125,38,61,24,16,2
126,38,61,23,15,2
127,39,61,22,15,2
128,39,61,21,15,2
129,39,61,20,15,2
130,39,61,19,15,2
