,r1,r2,p1,p2,gesture
100,29,-44,-14,2,1
101,29,-44,-14,2,1
102,29,-44,-13,2,1
103,29,-44,-13,2,1
104,29,-44,-13,2,1
105,29,-45,-16,2,1
106,32,-46,-29,1,1
107,31,-47,-47,0,1
108,35,-46,-59,4,1
109,36,-46,-62,4,1
110,36,-47,-61,5,1
111,37,-48,-59,5,1
112,37,-48,-51,4,1
113,31,-47,-37,1,1
114,28,-46,-23,5,1
115,26,-45,-13,6,1
116,26,-44,-7,6,1
117,26,-44,-7,6,1
118,26,-44,-7,6,1
119,26,-44,-7,5,1
120,27,-44,-8,5,1
121,27,-44,-8,5,1
122,27,-43,-8,5,1
123,27,-43,-8,5,1
124,27,-43,-8,5,1
125,27,-43,-8,5,1
